PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Craig Porter,Donovan Mitchell,Jarace Walker,Noah Clowney,Joel Embiid,Brandon Ingram,Drake Powell,Nic Claxton,50000,120.71
Andrew Nembhard,VJ Edgecombe,Jaylon Tyson,Jay Huff,Ivica Zubac,Jamal Shead,John Collins,Nikola Vucevic,50000,120.71
Jamal Shead,Trey Murphy,Aaron Nesmith,Jay Huff,Nic Claxton,VJ Edgecombe,Jaylon Tyson,Brandon Ingram,49900,120.71
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Jay Huff,Joel Embiid,Tre Jones,Noah Clowney,Nic Claxton,49800,120.71
TJ McConnell,Donovan Mitchell,Jordan Miller,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Derik Queen,Nic Claxton,50000,120.705
Andrew Nembhard,Jaylon Tyson,Isaac Okoro,Pascal Siakam,Joel Embiid,Jamal Shead,Noah Clowney,Kevin Huerter,50000,120.705
Jeremiah Fears,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jay Huff,Coby White,Pascal Siakam,Nic Claxton,49900,120.705
Craig Porter,Jaylon Tyson,Michael Porter,Pascal Siakam,Day'Ron Sharpe,Brandon Ingram,Jordan Miller,Jamal Shead,50000,120.705
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Scottie Barnes,Jarrett Allen,Jamal Shead,Gradey Dick,Ivica Zubac,50000,120.705
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Jay Huff,Collin Murray-Boyles,Jamal Shead,Noah Clowney,Scottie Barnes,50000,120.7
Craig Porter,Trey Murphy,Jaylon Tyson,Zion Williamson,Joel Embiid,Jamal Shead,Jay Huff,Day'Ron Sharpe,50000,120.69999999999999
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Matas Buzelis,Nic Claxton,Lonzo Ball,Collin Murray-Boyles,Jamal Shead,50000,120.695
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Zion Williamson,Nic Claxton,Craig Porter,Gradey Dick,Coby White,50000,120.695
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jay Huff,Kris Dunn,Pascal Siakam,Nikola Vucevic,49900,120.695
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Jay Huff,Jarrett Allen,Tyrese Maxey,Noah Clowney,Brandon Ingram,49900,120.69
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Sandro Mamukelashvili,Jaylon Tyson,Noah Clowney,Jamal Shead,50000,120.69
TJ McConnell,Jaylon Tyson,Paul George,Jay Huff,Joel Embiid,Jamal Shead,Matas Buzelis,Nikola Vucevic,50000,120.69
Craig Porter,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Ivica Zubac,Jaylon Tyson,Jarace Walker,Matas Buzelis,50000,120.69
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Matas Buzelis,Nikola Vucevic,Coby White,Collin Murray-Boyles,Jamal Shead,50000,120.685
Andrew Nembhard,Gradey Dick,Johnny Furphy,Pascal Siakam,Joel Embiid,Craig Porter,Noah Clowney,Ivica Zubac,50000,120.685
TJ McConnell,Ayo Dosunmu,Aaron Nesmith,Pascal Siakam,Joel Embiid,Jamal Shead,Jordan Miller,Nic Claxton,50000,120.685
TJ McConnell,Trey Murphy,Michael Porter,Jay Huff,Ivica Zubac,Jamal Shead,Ayo Dosunmu,Nic Claxton,50000,120.685
Jamal Shead,Donovan Mitchell,Jarace Walker,Noah Clowney,Ivica Zubac,Coby White,Michael Porter,Jordan Miller,50000,120.685
Andrew Nembhard,Coby White,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Drake Powell,Jay Huff,Nic Claxton,49800,120.685
Jamal Shead,Jaylon Tyson,Gradey Dick,Matas Buzelis,Nic Claxton,Brandon Ingram,Scottie Barnes,Coby White,49900,120.68
Jamal Shead,Brandon Ingram,Aaron Nesmith,Derik Queen,Joel Embiid,Jordan Miller,Jarace Walker,Ivica Zubac,49900,120.68
Jamal Shead,Donovan Mitchell,Michael Porter,Jay Huff,Nic Claxton,Coby White,Matas Buzelis,Nolan Traore,50000,120.68
Tyrese Maxey,Brandon Ingram,De'Andre Hunter,Jay Huff,Nic Claxton,Coby White,Kevin Huerter,Jamal Shead,49900,120.68
Andrew Nembhard,Brandon Ingram,Jordan Miller,Jay Huff,Ivica Zubac,Craig Porter,Matas Buzelis,Nikola Vucevic,49800,120.67999999999999
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Nic Claxton,Jamal Shead,Drake Powell,Kris Dunn,50000,120.67999999999999
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Zion Williamson,Joel Embiid,Nolan Traore,Jay Huff,Kevin Huerter,50000,120.675
Andrew Nembhard,Jordan Miller,Michael Porter,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Matas Buzelis,Nikola Vucevic,50000,120.675
Jamal Shead,Donovan Mitchell,Johnny Furphy,Jay Huff,Nikola Vucevic,Brandon Ingram,Jordan Miller,Coby White,50000,120.675
Craig Porter,Jaylon Tyson,Jordan Miller,Zion Williamson,Joel Embiid,Jamal Shead,Noah Clowney,Nikola Vucevic,50000,120.67
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Jay Huff,Brandon Ingram,Saddiq Bey,Jamal Shead,50000,120.67
TJ McConnell,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jarrett Allen,Jaylon Tyson,Matas Buzelis,Jamal Shead,49900,120.66499999999999
TJ McConnell,Donovan Mitchell,Kevin Huerter,Jay Huff,Ivica Zubac,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,120.66499999999999
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Paul George,Ivica Zubac,Brandon Ingram,Isaac Okoro,Nic Claxton,50000,120.66499999999999
Lonzo Ball,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Nic Claxton,Coby White,Michael Porter,Jamal Shead,49900,120.66499999999999
Jamal Shead,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Nikola Vucevic,Jaylon Tyson,Jarace Walker,Nolan Traore,49900,120.66499999999999
TJ McConnell,Brandon Ingram,Jarace Walker,Pascal Siakam,Joel Embiid,Nolan Traore,Collin Murray-Boyles,Ivica Zubac,50000,120.66499999999999
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Jarace Walker,Joel Embiid,Jaylon Tyson,Matas Buzelis,Nic Claxton,49900,120.66499999999999
TJ McConnell,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Trey Murphy,Zion Williamson,Jamal Shead,50000,120.66499999999999
TJ McConnell,Trey Murphy,Aaron Nesmith,Jay Huff,Nic Claxton,Jaylon Tyson,Michael Porter,Coby White,50000,120.66499999999999
Jamal Shead,Jaylon Tyson,Michael Porter,Jay Huff,Collin Murray-Boyles,Brandon Ingram,Matas Buzelis,Coby White,49900,120.66
Craig Porter,Jaylon Tyson,Jarace Walker,Pascal Siakam,Nikola Vucevic,Brandon Ingram,Noah Clowney,Coby White,49900,120.66
Jamal Shead,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Jaylon Tyson,Noah Clowney,Nikola Vucevic,49900,120.66
Craig Porter,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Jarrett Allen,Tyrese Maxey,Jarace Walker,Jamal Shead,49900,120.66
Craig Porter,Jaylon Tyson,Jarace Walker,Jay Huff,Nikola Vucevic,TJ McConnell,Michael Porter,Tyrese Maxey,50000,120.655
Craig Porter,Donovan Mitchell,Kevin Huerter,Jay Huff,Joel Embiid,TJ McConnell,Collin Murray-Boyles,Nic Claxton,50000,120.655
Andrew Nembhard,Brandon Ingram,Drake Powell,Zion Williamson,Jarrett Allen,Coby White,Jay Huff,Nic Claxton,50000,120.655
Andrew Nembhard,Trey Murphy,Jarace Walker,Jay Huff,Joel Embiid,Craig Porter,Ayo Dosunmu,Ivica Zubac,50000,120.655
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Derik Queen,Craig Porter,Jordan Miller,Jamal Shead,50000,120.655
Craig Porter,VJ Edgecombe,Jordan Miller,Jay Huff,Joel Embiid,Jamal Shead,Scottie Barnes,Nic Claxton,50000,120.655
Andrew Nembhard,Kris Dunn,Isaac Okoro,Jay Huff,Joel Embiid,Jamal Shead,Scottie Barnes,Nic Claxton,49900,120.65
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Zion Williamson,Nic Claxton,Craig Porter,Noah Clowney,Tyrese Maxey,49900,120.65
Jamal Shead,Jaylon Tyson,Jordan Miller,Pascal Siakam,Derik Queen,Coby White,Jay Huff,Scottie Barnes,50000,120.65
Craig Porter,Jaylon Tyson,Johnny Furphy,De'Andre Hunter,Joel Embiid,Brandon Ingram,Scottie Barnes,Jamal Shead,50000,120.65
Andrew Nembhard,Brandon Ingram,Jordan Miller,Nae'Qwan Tomlin,Jarrett Allen,Craig Porter,Pascal Siakam,Ivica Zubac,50000,120.65
Lonzo Ball,Jaylon Tyson,Drake Powell,Zion Williamson,Joel Embiid,Jamal Shead,Scottie Barnes,Nic Claxton,50000,120.64999999999999
Craig Porter,Jaylon Tyson,Michael Porter,Pascal Siakam,Nic Claxton,TJ McConnell,Zion Williamson,Drake Powell,50000,120.64999999999999
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Jay Huff,Ivica Zubac,Coby White,Matas Buzelis,Collin Murray-Boyles,50000,120.645
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Nae'Qwan Tomlin,Nikola Vucevic,Craig Porter,Michael Porter,Brandon Ingram,49800,120.645
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Jarrett Allen,Jamal Shead,Michael Porter,Jordan Miller,50000,120.645
Craig Porter,Coby White,Johnny Furphy,Pascal Siakam,Nic Claxton,Tyrese Maxey,Noah Clowney,Jamal Shead,49800,120.645
Craig Porter,Brandon Ingram,Johnny Furphy,Jarace Walker,Joel Embiid,TJ McConnell,Michael Porter,Ivica Zubac,49900,120.645
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Zion Williamson,Jay Huff,Craig Porter,Jarace Walker,Matas Buzelis,50000,120.645
Egor Demin,Jaylon Tyson,Michael Porter,Jay Huff,Ivica Zubac,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,120.64
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Zion Williamson,Jay Huff,Tyrese Maxey,Drake Powell,Jamal Shead,49900,120.64
Andrew Nembhard,Drake Powell,Jarace Walker,Pascal Siakam,Nikola Vucevic,Jamal Shead,Michael Porter,Jordan Miller,50000,120.64
Jamal Shead,Brandon Ingram,Aaron Nesmith,Zion Williamson,Ivica Zubac,Gradey Dick,Jarace Walker,Nikola Vucevic,50000,120.64
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Jarace Walker,Collin Murray-Boyles,Coby White,Scottie Barnes,Jamal Shead,50000,120.635
Andrew Nembhard,Donovan Mitchell,Gradey Dick,Nae'Qwan Tomlin,Jay Huff,Craig Porter,Scottie Barnes,Ivica Zubac,50000,120.63499999999999
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Nae'Qwan Tomlin,Jay Huff,Tre Jones,Zion Williamson,Ivica Zubac,50000,120.63499999999999
Andrew Nembhard,Lonzo Ball,Johnny Furphy,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Zion Williamson,Nic Claxton,50000,120.63
Jamal Shead,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Jay Huff,Brandon Ingram,De'Andre Hunter,Noah Clowney,50000,120.63
Andrew Nembhard,Jaylon Tyson,Kevin Huerter,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Scottie Barnes,Nikola Vucevic,49700,120.63
TJ McConnell,Donovan Mitchell,Jarace Walker,Derik Queen,Jay Huff,Jaylon Tyson,Michael Porter,Nic Claxton,49800,120.63
TJ McConnell,Coby White,Michael Porter,Derik Queen,Ivica Zubac,Jamal Shead,Noah Clowney,Nic Claxton,49900,120.63
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Dominick Barlow,Joel Embiid,Coby White,Jordan Miller,Nic Claxton,49900,120.63
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Jarace Walker,Joel Embiid,Jaylon Tyson,Drake Powell,Coby White,50000,120.625
Craig Porter,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Joel Embiid,Jaylon Tyson,Kevin Huerter,Nic Claxton,49800,120.625
Nolan Traore,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Trey Murphy,Jaylon Tyson,Ivica Zubac,49900,120.625
Andrew Nembhard,Brandon Ingram,Kevin Huerter,Jay Huff,Jarrett Allen,Craig Porter,Scottie Barnes,Jamal Shead,50000,120.625
Jamal Shead,Jaylon Tyson,Gradey Dick,Pascal Siakam,Joel Embiid,Kris Dunn,Matas Buzelis,Ivica Zubac,50000,120.62
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Derik Queen,Jay Huff,Tyrese Maxey,Gradey Dick,Nic Claxton,50000,120.62
Craig Porter,Coby White,Johnny Furphy,Noah Clowney,Joel Embiid,Jamal Shead,Scottie Barnes,Ivica Zubac,50000,120.62
Jamal Shead,Gradey Dick,Aaron Nesmith,Pascal Siakam,Joel Embiid,Tre Jones,Jarace Walker,Ivica Zubac,49900,120.615
TJ McConnell,Donovan Mitchell,Johnny Furphy,Jarace Walker,Joel Embiid,Jamal Shead,Paul George,Ivica Zubac,49900,120.615
Andrew Nembhard,Lonzo Ball,Johnny Furphy,Pascal Siakam,Nic Claxton,Tyrese Maxey,Kevin Huerter,Jamal Shead,49900,120.615
Craig Porter,Brandon Ingram,Saddiq Bey,Zion Williamson,Ivica Zubac,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,120.615
Andrew Nembhard,VJ Edgecombe,De'Andre Hunter,Jarace Walker,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,49800,120.615
Craig Porter,Donovan Mitchell,Jaylon Tyson,Jay Huff,Collin Murray-Boyles,Tyrese Maxey,Kevin Huerter,Jamal Shead,50000,120.615
Andrew Nembhard,Donovan Mitchell,Drake Powell,Pascal Siakam,Jay Huff,Jamal Shead,Noah Clowney,Tre Jones,49900,120.61
Andrew Nembhard,Jaylon Tyson,Gradey Dick,Pascal Siakam,Ivica Zubac,Jeremiah Fears,Matas Buzelis,Nic Claxton,49900,120.61
Andrew Nembhard,Brandon Ingram,Jarace Walker,Jay Huff,Joel Embiid,Craig Porter,Paul George,Tre Jones,50000,120.61
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Paul George,Nic Claxton,Jamal Shead,Noah Clowney,Nikola Vucevic,50000,120.605
Egor Demin,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,Coby White,Noah Clowney,Nic Claxton,49800,120.605
Andrew Nembhard,Donovan Mitchell,Drake Powell,Noah Clowney,Ivica Zubac,Jamal Shead,Jordan Miller,Nikola Vucevic,50000,120.605
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Jay Huff,Ivica Zubac,Lonzo Ball,Paul George,Nic Claxton,50000,120.605
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Jay Huff,Ivica Zubac,Coby White,Noah Clowney,Nikola Vucevic,49800,120.605
Andrew Nembhard,Coby White,Jarace Walker,Pascal Siakam,Jay Huff,Jordan Miller,Matas Buzelis,Michael Porter,50000,120.605
Jamal Shead,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Ivica Zubac,Nolan Traore,Jarace Walker,Michael Porter,50000,120.605
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Sandro Mamukelashvili,Jamal Shead,Jarace Walker,Jordan Miller,50000,120.60499999999999
Craig Porter,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Joel Embiid,Nolan Traore,Michael Porter,Nic Claxton,50000,120.6
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Noah Clowney,Joel Embiid,Gradey Dick,Michael Porter,Nic Claxton,50000,120.6
Andrew Nembhard,Trey Murphy,Johnny Furphy,Pascal Siakam,Nic Claxton,Craig Porter,John Collins,Jamal Shead,50000,120.6
TJ McConnell,Jordan Miller,De'Andre Hunter,Pascal Siakam,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Ivica Zubac,49900,120.6
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Nic Claxton,Brandon Ingram,Kevin Huerter,Coby White,50000,120.6
Andrew Nembhard,Lonzo Ball,De'Andre Hunter,Jay Huff,Joel Embiid,Tyrese Maxey,Jarace Walker,Nic Claxton,49700,120.6
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Jarrett Allen,Jamal Shead,Gradey Dick,Joel Embiid,50000,120.6
Andrew Nembhard,Lonzo Ball,Aaron Nesmith,Scottie Barnes,Ivica Zubac,Jamal Shead,John Collins,Nic Claxton,50000,120.595
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Zion Williamson,Jarrett Allen,Jordan Miller,Michael Porter,Nic Claxton,50000,120.595
Tyrese Maxey,Jaylon Tyson,De'Andre Hunter,Jarace Walker,Joel Embiid,Jamal Shead,Saddiq Bey,Nic Claxton,50000,120.59
Nolan Traore,Jaylon Tyson,Jarace Walker,Collin Murray-Boyles,Joel Embiid,Brandon Ingram,Michael Porter,Nic Claxton,50000,120.59
Andrew Nembhard,Kris Dunn,Aaron Nesmith,Jay Huff,Ivica Zubac,Tyrese Maxey,Noah Clowney,Nic Claxton,49900,120.58500000000001
Andrew Nembhard,Brandon Ingram,Isaac Okoro,Pascal Siakam,Day'Ron Sharpe,Jamal Shead,Noah Clowney,Ivica Zubac,50000,120.585
Jamal Shead,Brandon Ingram,Drake Powell,Pascal Siakam,Joel Embiid,Coby White,Jay Huff,Kris Dunn,49900,120.585
Jamal Shead,Jaylon Tyson,Gradey Dick,Derik Queen,Joel Embiid,Brandon Ingram,Noah Clowney,Nic Claxton,49800,120.58
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Jalen Smith,Ivica Zubac,Coby White,Drake Powell,Nic Claxton,50000,120.575
Andrew Nembhard,Coby White,Jarace Walker,Paul George,Ivica Zubac,Jordan Miller,Scottie Barnes,Nic Claxton,50000,120.575
Andrew Nembhard,Donovan Mitchell,Drake Powell,Jay Huff,Collin Murray-Boyles,Brandon Ingram,Matas Buzelis,Jamal Shead,49900,120.575
TJ McConnell,Brandon Ingram,Jordan Miller,Pascal Siakam,Jay Huff,Jamal Shead,Matas Buzelis,Nikola Vucevic,49800,120.575
Andrew Nembhard,Brandon Ingram,Drake Powell,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,Collin Murray-Boyles,Jamal Shead,49900,120.575
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,De'Andre Hunter,Nic Claxton,Jaylon Tyson,Kevin Huerter,Brandon Ingram,50000,120.575
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,John Collins,Jamal Shead,49900,120.575
Andrew Nembhard,Kevin Huerter,Johnny Furphy,Pascal Siakam,Nikola Vucevic,Jamal Shead,Zion Williamson,Jarace Walker,50000,120.57
Andrew Nembhard,Coby White,Ayo Dosunmu,Zion Williamson,Jarrett Allen,Jamal Shead,Jay Huff,Ivica Zubac,50000,120.57
Andrew Nembhard,Lonzo Ball,Johnny Furphy,Zion Williamson,Ivica Zubac,Coby White,Scottie Barnes,Jamal Shead,50000,120.57
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Jay Huff,Collin Murray-Boyles,Jamal Shead,Michael Porter,Tre Jones,50000,120.57
Craig Porter,Brandon Ingram,Paul George,Nae'Qwan Tomlin,Joel Embiid,Coby White,Jay Huff,Ivica Zubac,50000,120.57
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Jalen Smith,Ivica Zubac,49900,120.57
Jamal Shead,Jaylon Tyson,Gradey Dick,Jay Huff,Joel Embiid,Jordan Miller,Scottie Barnes,Nikola Vucevic,50000,120.57
Craig Porter,Donovan Mitchell,Aaron Nesmith,Scottie Barnes,Ivica Zubac,Jaylon Tyson,Drake Powell,Jamal Shead,49900,120.565
TJ McConnell,Brandon Ingram,De'Andre Hunter,Jarace Walker,Nic Claxton,Jamal Shead,Scottie Barnes,Nikola Vucevic,49800,120.565
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Nae'Qwan Tomlin,Nic Claxton,Craig Porter,Scottie Barnes,Coby White,50000,120.565
Jamal Shead,Jaylon Tyson,Jarace Walker,Zion Williamson,Jarrett Allen,Coby White,Scottie Barnes,Nic Claxton,49800,120.565
Egor Demin,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Coby White,Pascal Siakam,Jamal Shead,49900,120.565
Craig Porter,Brandon Ingram,Aaron Nesmith,Scottie Barnes,Ivica Zubac,TJ McConnell,Collin Murray-Boyles,Jamal Shead,49900,120.565
Jeremiah Fears,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Ivica Zubac,Coby White,Jarace Walker,Nic Claxton,50000,120.56
Lonzo Ball,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Jay Huff,Trey Murphy,Jarace Walker,Jamal Shead,50000,120.56
Andrew Nembhard,Brandon Ingram,Jarace Walker,Nae'Qwan Tomlin,Nic Claxton,Gradey Dick,Zion Williamson,Michael Porter,50000,120.56
Egor Demin,Jaylon Tyson,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Matas Buzelis,Nic Claxton,50000,120.555
Jamal Shead,Brandon Ingram,Aaron Nesmith,Jarace Walker,Nic Claxton,Coby White,Scottie Barnes,Tre Jones,49900,120.555
Craig Porter,Donovan Mitchell,Johnny Furphy,De'Andre Hunter,Joel Embiid,Jamal Shead,Matas Buzelis,Nic Claxton,50000,120.55499999999999
TJ McConnell,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Jay Huff,Coby White,49900,120.55499999999999
Craig Porter,Trey Murphy,Jaylon Tyson,Pascal Siakam,Ivica Zubac,TJ McConnell,Ayo Dosunmu,Nic Claxton,50000,120.55499999999999
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,Jordan Miller,Matas Buzelis,Noah Clowney,50000,120.55
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jarace Walker,Joel Embiid,Brandon Ingram,Collin Murray-Boyles,Day'Ron Sharpe,50000,120.55
Andrew Nembhard,Trey Murphy,Johnny Furphy,Jay Huff,Ivica Zubac,Jordan Miller,Michael Porter,Nic Claxton,49900,120.55
Tyrese Maxey,Lonzo Ball,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Brandon Ingram,Michael Porter,Jamal Shead,50000,120.545
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,De'Andre Hunter,Jarrett Allen,Jamal Shead,Matas Buzelis,Nic Claxton,50000,120.545
Craig Porter,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Day'Ron Sharpe,Coby White,Noah Clowney,Jamal Shead,49900,120.545
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Nae'Qwan Tomlin,Nic Claxton,Tyrese Maxey,Matas Buzelis,Brandon Ingram,49900,120.545
Lonzo Ball,Donovan Mitchell,Kevin Huerter,Pascal Siakam,Jay Huff,Jamal Shead,Matas Buzelis,Ivica Zubac,50000,120.545
Andrew Nembhard,Jordan Hawkins,Michael Porter,Jay Huff,Joel Embiid,Jamal Shead,Noah Clowney,Ivica Zubac,50000,120.545
Andrew Nembhard,Kris Dunn,De'Andre Hunter,Zion Williamson,Joel Embiid,Craig Porter,Jay Huff,Ivica Zubac,50000,120.545
Nolan Traore,Jaylon Tyson,Michael Porter,Jay Huff,Joel Embiid,Brandon Ingram,Gradey Dick,Ivica Zubac,50000,120.545
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Jay Huff,Collin Murray-Boyles,Brandon Ingram,Paul George,Michael Porter,50000,120.54
Andrew Nembhard,Trey Murphy,De'Andre Hunter,Zion Williamson,Jay Huff,Jaylon Tyson,Collin Murray-Boyles,Nic Claxton,50000,120.53999999999999
Craig Porter,Brandon Ingram,Aaron Nesmith,Zion Williamson,Nic Claxton,TJ McConnell,Jarace Walker,Scottie Barnes,50000,120.53999999999999
Jamal Shead,Trey Murphy,Johnny Furphy,Zion Williamson,Joel Embiid,Jaylon Tyson,Gradey Dick,Nic Claxton,50000,120.53999999999999
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Jay Huff,Nic Claxton,Coby White,Isaac Okoro,Nikola Vucevic,50000,120.53999999999999
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Derik Queen,Nic Claxton,Jamal Shead,Matas Buzelis,Nikola Vucevic,49900,120.53999999999999
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Ivica Zubac,Craig Porter,John Collins,Coby White,50000,120.53999999999999
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Jay Huff,Ivica Zubac,Brandon Ingram,Paul George,Nikola Vucevic,50000,120.53999999999999
Egor Demin,Brandon Ingram,Aaron Nesmith,Zion Williamson,Ivica Zubac,Coby White,Jarace Walker,Nic Claxton,50000,120.53999999999999
Andrew Nembhard,Donovan Mitchell,Ayo Dosunmu,Zion Williamson,Jay Huff,Craig Porter,Noah Clowney,Jamal Shead,50000,120.53999999999999
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Zion Williamson,Day'Ron Sharpe,Coby White,Drake Powell,Jamal Shead,50000,120.535
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Day'Ron Sharpe,Coby White,John Collins,Jamal Shead,50000,120.535
Andrew Nembhard,Kevin Huerter,Jarace Walker,Zion Williamson,Joel Embiid,Craig Porter,Collin Murray-Boyles,Nic Claxton,49900,120.535
TJ McConnell,Donovan Mitchell,Jarace Walker,Derik Queen,Ivica Zubac,Brandon Ingram,Gradey Dick,Nic Claxton,50000,120.535
Craig Porter,Donovan Mitchell,Jarace Walker,Jay Huff,Nic Claxton,Lonzo Ball,Michael Porter,Nikola Vucevic,50000,120.535
Craig Porter,Donovan Mitchell,Gradey Dick,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Jay Huff,Nikola Vucevic,49900,120.535
Jamal Shead,Jaylon Tyson,Kevin Huerter,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Derik Queen,Ivica Zubac,49900,120.53
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Tyrese Maxey,Drake Powell,Nic Claxton,50000,120.53
Andrew Nembhard,Lonzo Ball,Michael Porter,Noah Clowney,Ivica Zubac,Brandon Ingram,Kevin Huerter,Jamal Shead,50000,120.53
Tyrese Maxey,Jordan Miller,De'Andre Hunter,Pascal Siakam,Jay Huff,Jamal Shead,Matas Buzelis,Nic Claxton,49900,120.53
TJ McConnell,Brandon Ingram,De'Andre Hunter,Jay Huff,Joel Embiid,Jamal Shead,Kevin Huerter,Nikola Vucevic,50000,120.53
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Jarrett Allen,Brandon Ingram,Jay Huff,Coby White,49900,120.525
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Egor Demin,Jay Huff,Ivica Zubac,49900,120.525
